source_figure,panel,film_thickness_A,energy_eV,etch_step_s,time_s,observable,value,units,marker_center_x_px,marker_center_y_px,digitization_uncertainty,experimental_uncertainty_reported,quantity_semantics,supports_absolute_areal_atom_inventory,boundary_evidence_tier,observation_id,source_pdf_sha256
Figure 6.14,6.14b,5,25,40.0,15.0,F1s_intensity_kcps,12.4000,kcps,1080.0,1367.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_015,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,40.0,F1s_intensity_kcps,16.7077,kcps,1407.0,1227.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_016,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,0.0,film_F_over_C_from_C1s,0.5039,ratio,895.0,622.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_017,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,5.0,film_F_over_C_from_C1s,0.3557,ratio,959.0,712.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_018,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,15.0,film_F_over_C_from_C1s,0.2832,ratio,1084.0,756.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_019,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,40.0,film_F_over_C_from_C1s,0.1976,ratio,1400.0,808.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_020,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,0.0,delta_F_over_C_substrate_proxy,0.0313,ratio,895.0,909.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_021,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,5.0,delta_F_over_C_substrate_proxy,0.0609,ratio,959.0,891.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_022,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,15.0,delta_F_over_C_substrate_proxy,0.0280,ratio,1085.0,911.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_023,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15a,11,25,40.0,40.0,delta_F_over_C_substrate_proxy,0.0445,ratio,1400.0,901.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_024,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,0.0,CFx_C1s_intensity_kcps,9.7541,kcps,893.0,1186.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_025,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,5.0,CFx_C1s_intensity_kcps,6.9344,kcps,959.0,1358.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_026,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,15.0,CFx_C1s_intensity_kcps,5.7049,kcps,1085.0,1433.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_027,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,40.0,CFx_C1s_intensity_kcps,3.8525,kcps,1404.0,1546.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_028,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,0.0,F1s_intensity_kcps,10.3607,kcps,895.0,1149.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_029,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,5.0,F1s_intensity_kcps,8.0984,kcps,959.0,1287.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_030,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,15.0,F1s_intensity_kcps,6.2623,kcps,1085.0,1399.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_031,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.15,6.15b,11,25,40.0,40.0,F1s_intensity_kcps,4.6885,kcps,1404.0,1495.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_032,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
