source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,volume_average_electron_density_cm3,marker,marker_center_x_px,marker_center_y_px,digitization_power_uncertainty_W,digitization_electron_density_uncertainty_cm3,measurement_method,volume_average_conversion,reported_measurement_uncertainty,tcp_power_semantics,supports_local_wafer_electron_density,supports_wafer_flux,validation_role
Figure 11,11,2,198.837,4.00843882e+10,open_circle,326.0,411.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,2,299.637,5.74894515e+10,open_circle,399.0,378.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,2,498.474,1.03902954e+11,open_circle,543.0,290.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,2,697.311,1.53481013e+11,open_circle,687.0,196.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,2,898.910,1.99367089e+11,open_circle,833.0,109.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,10,149.128,1.74050633e+10,filled_square,290.0,454.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,10,299.637,6.43459916e+10,filled_square,399.0,365.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,10,498.474,6.85654008e+10,filled_square,543.0,357.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,10,885.102,1.28164557e+11,filled_square,823.0,244.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,2,299.637,2.90084388e+10,open_circle,399.0,872.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,2,498.474,5.22151899e+10,open_circle,543.0,772.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,2,700.073,7.63502110e+10,open_circle,689.0,668.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,2,861.628,8.95780591e+10,open_circle,806.0,611.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,2,898.910,9.86286920e+10,open_circle,833.0,572.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,10,299.637,1.92616034e+10,filled_square,399.0,914.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,10,498.474,2.78481013e+10,filled_square,543.0,877.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,6.5,10,869.913,4.31645570e+10,filled_square,812.0,811.0,2.7616,6.96202532e+08,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
