source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,relative_cl2_density_percent,cl2_dissociation_percent,cl2_flow_sccm,rare_gas_flow_sccm,flow_condition,marker,marker_center_x_px,marker_center_y_px,digitization_power_uncertainty_W,digitization_relative_cl2_uncertainty_percentage_point,reported_absolute_density_relative_uncertainty_percent,error_bar_semantics,tcp_power_semantics,supports_absorbed_power,supports_wafer_flux,validation_role
Figure 7,11,2,300.448,68.9552,31.0448,114,6,normal,open_circle,356.0,307.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,2,499.936,56.8823,43.1177,114,6,normal,open_circle,520.0,359.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,2,700.640,42.0232,57.9768,114,6,normal,open_circle,685.0,423.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,2,867.286,28.7894,71.2106,114,6,normal,open_circle,822.0,480.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,1,149.616,74.9917,25.0083,57,3,normal,filled_down_triangle,232.0,281.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,1,300.448,65.0083,34.9917,57,3,normal,filled_down_triangle,356.0,324.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,1,499.936,36.9154,63.0846,57,3,normal,filled_down_triangle,520.0,445.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,1,700.640,29.9502,70.0498,57,3,normal,filled_down_triangle,685.0,475.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,1,850.256,25.0746,74.9254,57,3,normal,filled_down_triangle,808.0,496.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,0.5,300.448,45.0415,54.9585,38,2,normal,open_diamond,356.0,410.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,0.5,850.256,19.9668,80.0332,38,2,normal,open_diamond,808.0,518.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,150.639,91.2343,8.7657,114,6,normal,filled_square,233.0,220.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,200.448,92.5760,7.4240,114,6,normal,filled_square,274.0,215.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,300.064,92.8444,7.1556,114,6,normal,filled_square,356.0,214.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,499.297,90.6977,9.3023,114,6,normal,filled_square,520.0,222.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,699.744,76.4758,23.5242,114,6,normal,filled_square,685.0,275.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,824.872,54.2039,45.7961,114,6,normal,filled_square,788.0,358.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,879.540,63.8640,36.1360,114,6,normal,filled_square,833.0,322.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,10,499.297,85.0626,14.9374,38,2,one_third_flow,open_square,520.0,243.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,diagnostic_flow_check
Figure 8,6.5,2,349.872,82.9159,17.0841,114,6,normal,open_circle,397.0,251.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,2,499.297,72.9875,27.0125,114,6,normal,open_circle,520.0,288.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,2,699.744,66.0107,33.9893,114,6,normal,open_circle,685.0,314.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,2,900.192,48.8372,51.1628,114,6,normal,open_circle,850.0,378.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,1,150.639,82.1109,17.8891,57,3,normal,filled_down_triangle,233.0,254.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,1,699.744,44.0072,55.9928,57,3,normal,filled_down_triangle,685.0,396.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,1,850.384,39.9821,60.0179,57,3,normal,filled_down_triangle,809.0,411.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,0.5,699.744,34.0787,65.9213,38,2,normal,open_diamond,685.0,433.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 8,6.5,0.5,840.665,31.9320,68.0680,38,2,normal,open_diamond,801.0,441.0,2.4297,0.8050,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
